Id,Precinct,For,Against,Totals,TabName,CountyOBJECTID,Cnty_Name,Cnty_No,CountyFIPS
153,Precicnt 3 (4),87,98,185,Cedar,14,Cedar,14,27
154,Precicnt 4 (5-6-7),186,202,388,Cedar,14,Cedar,14,27
155,Precinct 5 (13-14),75,84,159,Cedar,14,Cedar,14,27
156,Precinct 6 (8-9),586,490,1076,Cedar,14,Cedar,14,27
157,Precicnt 7 (9A),47,46,93,Cedar,14,Cedar,14,27
158,Precinct 8 (10-11-12),128,118,246,Cedar,14,Cedar,14,27
159,Precinct 9 (15-16),203,215,418,Cedar,14,Cedar,14,27
160,Precicnt 10 (17-18),56,79,135,Cedar,14,Cedar,14,27
161,Precinct 11 (19),295,214,509,Cedar,14,Cedar,14,27
162,Precinct 12 (20),53,70,123,Cedar,14,Cedar,14,27
163,Precicnt 13 (21),343,264,607,Cedar,14,Cedar,14,27
164,Champion/Lamar,121,149,270,Chase,15,Chase,15,29
165,Imperial East,157,145,302,Chase,15,Chase,15,29
166,Imperial West,280,255,535,Chase,15,Chase,15,29
167,Imperial Rural,157,161,318,Chase,15,Chase,15,29
168,Wauneta,178,166,344,Chase,15,Chase,15,29
169,Barley,5,26,31,Cherry,16,Cherry,16,31
170,Cleveland,25,46,71,Cherry,16,Cherry,16,31
171,Cody,89,94,183,Cherry,16,Cherry,16,31
172,Crookston,47,71,118,Cherry,16,Cherry,16,31
173,Gillaspie,4,15,19,Cherry,16,Cherry,16,31
174,Goose Creek,9,65,74,Cherry,16,Cherry,16,31
175,Kennedy,3,18,21,Cherry,16,Cherry,16,31
176,Kilgore,24,48,72,Cherry,16,Cherry,16,31
177,King,6,12,18,Cherry,16,Cherry,16,31
178,Lackey,14,36,50,Cherry,16,Cherry,16,31
179,Loup,52,70,122,Cherry,16,Cherry,16,31
180,Merriman,54,71,125,Cherry,16,Cherry,16,31
181,Mother Lake,17,22,39,Cherry,16,Cherry,16,31
182,Nenzel,10,21,31,Cherry,16,Cherry,16,31
183,Russell,5,17,22,Cherry,16,Cherry,16,31
184,Valentine East,302,292,594,Cherry,16,Cherry,16,31
185,Valentine North,353,347,700,Cherry,16,Cherry,16,31
186,Valentine South,190,214,404,Cherry,16,Cherry,16,31
187,Wells,24,51,75,Cherry,16,Cherry,16,31
188,Wood Lake,26,60,86,Cherry,16,Cherry,16,31
189,Sidney 1,277,223,500,Cheyenne,17,Cheyenne,17,33
190,Sidney 2,355,307,662,Cheyenne,17,Cheyenne,17,33
191,Sidney 3,309,225,534,Cheyenne,17,Cheyenne,17,33
192,Sidney 4,281,251,532,Cheyenne,17,Cheyenne,17,33
193,Sidney 5,523,406,929,Cheyenne,17,Cheyenne,17,33
194,Gurley,131,145,276,Cheyenne,17,Cheyenne,17,33
195,Lodgepole,185,190,375,Cheyenne,17,Cheyenne,17,33
196,Potter,137,165,302,Cheyenne,17,Cheyenne,17,33
197,Union Valley,143,120,263,Cheyenne,17,Cheyenne,17,33
198,Harvard Cons.,249,215,464,Clay,18,Clay,18,35
199,Inland Leicester,107,112,219,Clay,18,Clay,18,35
200,Sutton 1st,209,192,401,Clay,18,Clay,18,35
201,Sutton 2nd,198,180,378,Clay,18,Clay,18,35
202,Sutton Twps,118,138,256,Clay,18,Clay,18,35
203,Glenvil,103,104,207,Clay,18,Clay,18,35
204,Spring Ranch FF 2nd,88,114,202,Clay,18,Clay,18,35
205,Fairfield 1st,98,88,186,Clay,18,Clay,18,35
206,Edgar Cons.,189,164,353,Clay,18,Clay,18,35
207,Clay Center City,235,154,389,Clay,18,Clay,18,35
208,LLLM Cons.,112,122,234,Clay,18,Clay,18,35
209,Schuyler 1,316,240,556,Colfax,19,Colfax,19,37
210,Schuyler 2,490,337,827,Colfax,19,Colfax,19,37
211,Schuyler 3,417,285,702,Colfax,19,Colfax,19,37
212,Clarkson 4,404,301,705,Colfax,19,Colfax,19,37
213,Howells 5,265,192,457,Colfax,19,Colfax,19,37
307,BCN,255,155,410,Cuming,20,Cuming,20,39
308,BL,260,163,423,Cuming,20,Cuming,20,39
309,SSGC,319,226,545,Cuming,20,Cuming,20,39
310,SW4,260,190,450,Cuming,20,Cuming,20,39
311,WP2,348,174,522,Cuming,20,Cuming,20,39
312,BGW,399,310,709,Cuming,20,Cuming,20,39
313,WP1&3,494,271,765,Cuming,20,Cuming,20,39
314,MASON CITY,96,113,209,Custer,21,Custer,21,41
315,ARNOLD,201,212,413,Custer,21,Custer,21,41
316,ANSLEY/M/W,169,234,403,Custer,21,Custer,21,41
317,BROKEN BOW NORTH,90,73,163,Custer,21,Custer,21,41
318,BROKEN BOW NORTH RURAL,122,105,227,Custer,21,Custer,21,41
319,BROKEN BOW SOUTH,324,257,581,Custer,21,Custer,21,41
320,BROKEN BOW SOUTHWEST,142,106,248,Custer,21,Custer,21,41
321,BERWYN,56,65,121,Custer,21,Custer,21,41
